"key","species","kingdom","phylum","class","order","family","genus","n_pts","n_rawpts","n_sdmpts"
135179,"Balanophyllia (Balanophyllia) cellulosa","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia",10,57,29
291112,"Stauropathes punctata","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Stauropathes",6,15,6
135192,"Leptopsammia formosa","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Leptopsammia",14,33,23
125404,"Villogorgia bebrycoides","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Villogorgia",20,59,30
128533,"Umbellula thomsoni","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Umbellulidae","Umbellula",16,22,20
135197,"Flabellum (Ulocyathus) macandrewi","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum",59,168,77
183476,"Umbellula durissima","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Umbellulidae","Umbellula",5,10,6
135178,"Astroides calycularis","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Astroides",104,384,132
103328,"Parantipathes larix","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Parantipathes",6,22,16
125369,"Leptogorgia sarmentosa","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Gorgoniidae","Leptogorgia",169,1567,200
125356,"Radicipes challengeri","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Radicipes",16,37,16
125387,"Paramuricea clavata","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Paramuricea",390,6943,473
125400,"Swiftia dubia","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Plexauridae","Swiftia",20,32,29
125395,"Placogorgia massiliensis","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Placogorgia",4,7,5
128531,"Umbellula lindahli","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Umbellulidae","Umbellula",25,99,37
125423,"Cornularia cornucopiae","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Cornulariidae","Cornularia",13,40,31
